iter	RMSE
0	142431902.3
1	141617304.1
2	140860084.1
3	140014273.1
4	139213586
5	138461617
6	137677257.4
7	136912189.9
8	136145675.2
9	135410232.1
10	134643842.3
11	133991179.2
12	133244345.7
13	132553627.9
14	131831316.1
15	131105080.5
16	130377251.8
17	129699406.2
18	129045138.8
19	128472850.7
20	127771591.5
21	127124949.2
22	126444234.3
23	125794521.6
24	125114310.1
25	124454690.4
26	123828075.8
27	123160472.2
28	122548758.5
29	121959466.7
30	121302870.9
31	120658811.5
32	120112213
33	119529538.7
34	118926251.1
35	118340697.4
36	117767737.3
37	117185547.6
38	116641696
39	116088775.9
40	115494832.2
41	114926613.1
42	114375338.3
43	113853043.3
44	113354935.4
45	112849735.4
46	112339165.7
47	111844485
48	111316434.4
49	110861212
50	110333714
51	109839033.4
52	109321744.3
53	108851722.8
54	108370014.2
55	107905231.1
56	107425665.8
57	106962227.4
58	106488876.3
59	106051516.9
60	105589294.6
61	105150209.2
62	104681933.8
63	104276272.8
64	103819420.2
65	103364386.9
66	102931140.6
67	102524076
68	102111017.4
69	101682540
70	101271350.8
71	100856475
72	100409367.5
73	100003843.5
74	99600810.8
75	99211217.69
76	98850205.26
77	98481015.97
78	98123216.32
79	97744777.48
80	97378139.16
81	96991893.23
82	96652169.6
83	96305582.74
84	95955376.12
85	95628421.83
86	95267891.3
87	94958183.35
88	94586046.5
89	94232545.07
90	93902508.88
91	93554373.44
92	93236109.95
93	92889871
94	92571173.05
95	92256169.46
96	91911230.78
97	91600032.27
98	91279190.39
99	90956818.69
100	90647449.84
101	90360880.46
102	90042726.56
103	89740402.47
104	89450380.01
105	89155814.18
106	88855582.27
107	88576257.73
108	88304353.6
109	88045643.24
110	87778902.86
111	87529099.94
112	87262668.63
113	87008170.18
114	86755372.91
115	86492876.81
116	86197854.62
117	85954117.09
118	85696447.27
119	85435326.56
120	85189979.64
121	84925122.42
122	84655841.54
123	84389600.1
124	84190791.51
125	83942821.58
126	83727660.67
127	83485623.12
128	83280980.9
129	83049678.34
130	82811553.7
131	82584339.52
132	82372085.05
133	82160820.44
134	81958016.75
135	81735708
136	81538772.32
137	81324421.93
138	81101077.5
139	80884049.36
140	80675450.11
141	80469952.29
142	80269009.42
143	80048897.86
144	79850379.88
145	79654271.71
146	79474244.58
147	79282026.19
148	79102311.08
149	78920051.97
150	78721278.83
151	78558333.27
152	78360694.93
153	78179995.46
154	78022223.57
155	77863853.2
156	77687361.93
157	77516114.2
158	77369862.67
159	77194246.34
160	77039049.02
161	76868569.52
162	76722992.34
163	76549554.97
164	76381792.91
165	76221328.94
166	76059653.99
167	75900829.09
168	75749179.37
169	75607966.94
170	75439357.26
171	75277824.47
172	75135887.39
173	74997691.16
174	74853917.43
175	74699794.64
176	74559208.93
177	74410171.12
178	74275927.57
179	74132215.78
180	73989990.38
181	73854050.29
182	73715415.5
183	73585599.22
184	73447341.6
185	73305173.9
186	73161116.94
187	73011571.48
188	72892248.45
189	72755656.68
190	72637691.35
191	72501754.18
192	72380952.04
193	72264460.25
194	72144238.48
195	72021969.22
196	71901416.9
197	71773834.33
198	71658903.4
199	71553457.78
200	71426448.3
201	71308702.47
202	71205397.24
203	71078824.39
204	70968828.79
205	70855432.48
206	70729645.38
207	70626180.26
208	70524932.69
209	70411726.11
210	70302326.11
211	70199638.13
212	70085842.85
213	69975115.93
214	69870327.55
215	69762063.07
216	69663180.07
217	69571752.51
218	69479249.76
219	69369802.18
220	69274585.53
221	69176146.53
222	69071919.28
223	68979839.37
224	68866713.8
225	68767635.77
226	68670143.32
227	68564365.78
228	68464992.17
229	68366937.23
230	68271925.7
231	68192844.39
232	68097534.76
233	67998785.38
234	67915152.77
235	67828372.05
236	67754647.92
237	67659208.77
238	67573613.55
239	67493547.57
240	67412795.37
241	67335391.46
242	67251602.8
243	67176628.55
244	67109607.95
245	67025299.03
246	66935465.25
247	66850476.67
248	66764053.59
249	66686839.3
250	66617594.06
251	66530866.22
252	66468143.89
253	66400606.6
254	66315041.51
255	66234512.27
256	66159009.77
257	66085660.52
258	66004668.78
259	65923639.86
260	65842441.02
261	65777390.85
262	65704596.75
263	65626014.16
264	65546867.8
265	65481195.07
266	65400485.46
267	65336847.03
268	65276360.75
269	65213978.66
270	65151915.36
271	65099155.58
272	65037697.98
273	64982457.27
274	64916287.73
275	64846043.39
276	64775871.26
277	64726796.65
278	64665899.23
279	64591454.36
280	64520218.85
281	64454595.41
282	64400883.63
283	64340925.22
284	64274459.21
285	64216596.62
286	64172337.63
287	64105637.2
288	64040771.79
289	63978420.65
290	63906143.79
291	63852153.59
292	63787864.29
293	63714039.15
294	63668833.86
295	63611262.79
296	63559637.17
297	63510483.22
298	63454153.95
299	63399063.27
300	63338015.16
301	63269736.94
302	63201821.35
303	63153552.32
304	63110771.11
305	63053472.15
306	62994087.03
307	62933802.91
308	62876360.29
309	62830634.41
310	62788091.1
311	62730205.48
312	62681928.19
313	62627526.42
314	62562714.82
315	62505517.65
316	62453476.44
317	62403951.53
318	62352932
319	62311813.97
320	62270631.24
321	62215671.78
322	62168418.54
323	62106007.88
324	62055620
325	62016028.1
326	61981848.63
327	61935060.52
328	61895531.81
329	61845759.23
330	61801009.66
331	61747851.8
332	61699935.06
333	61653349.07
334	61607565.73
335	61561557.8
336	61528239.14
337	61483841.25
338	61421752.6
339	61380135.32
340	61342473.01
341	61294737.87
342	61256504.21
343	61221230.12
344	61176990.05
345	61138907.94
346	61097927.22
347	61054437.94
348	61016461.12
349	60971781.51
350	60933534.22
351	60895913.85
352	60860882.71
353	60814273.12
354	60773862.88
355	60735398.42
356	60693826.13
357	60655343.62
358	60625406.95
359	60592426.08
360	60545992.57
361	60511266.14
362	60471559.23
363	60427888.77
364	60394705.22
365	60352457.11
366	60317526.13
367	60281140.63
368	60250934.76
369	60205689.18
370	60173838.38
371	60131812.29
372	60096358.39
373	60058426.12
374	60025335.55
375	59979820.87
376	59937848.14
377	59886197.69
378	59846281.16
379	59803787.77
380	59764693.11
381	59734294.48
382	59708811.49
383	59667911.79
384	59630795.95
385	59584091.87
386	59552533.68
387	59525269.16
388	59495410.94
389	59461585.41
390	59420724.13
391	59391519.18
392	59363230.05
393	59335734.54
394	59312554.59
395	59277717.55
396	59240467.53
397	59204728.77
398	59183012.7
399	59151696.53
400	59108144.59
401	59067538.05
402	59035748.16
403	59005834.61
404	58977657.57
405	58942230.62
406	58914293.34
407	58876311.77
408	58836355.89
409	58802472.88
410	58765364.04
411	58728813.77
412	58697600.66
413	58669102.88
414	58636334.93
415	58599327.01
416	58565171.07
417	58539466.27
418	58503832.4
419	58468147.55
420	58445173.02
421	58409550.28
422	58379775.42
423	58353444.64
424	58324706.98
425	58301615.1
426	58270199.43
427	58245372.06
428	58210480.84
429	58193277.35
430	58167082.72
431	58131366.86
432	58103373.7
433	58072781.95
434	58042943.61
435	58010135.6
436	57980883.06
437	57955544.13
438	57931623.73
439	57907036.16
440	57871873.2
441	57829113.5
442	57798757.98
443	57761018.53
444	57736676.69
445	57713089.29
446	57674927.84
447	57650170.19
448	57620797.62
449	57593318.75
450	57568191.29
451	57537582.53
452	57517149.98
453	57490381.34
454	57447081.68
455	57427215.15
456	57408602.8
457	57378246.41
458	57347561.42
459	57319240.91
460	57301787.97
461	57273710.75
462	57249867.52
463	57225357.07
464	57193818.38
465	57160623.39
466	57140556.82
467	57119145.18
468	57100818.84
469	57084040.58
470	57064094.91
471	57032549.93
472	56987441.59
473	56951621.17
474	56916181.63
475	56890924.56
476	56864410.05
477	56845099.31
478	56808794.26
479	56779907.76
480	56752818.9
481	56726646.34
482	56705868.84
483	56671647.54
484	56645696.59
485	56613353.65
486	56585161.58
487	56564368.67
488	56549302.26
489	56515093.33
490	56484190.91
491	56461472.53
492	56440128.96
493	56426527.98
494	56400121.02
495	56379326.96
496	56354652.1
497	56332562.01
498	56316871.19
499	56300982.84
500	56285514.48
501	56263105.09
502	56249181.5
503	56226246.65
504	56208230.57
505	56193016.12
506	56173925.21
507	56147723.37
508	56117734.29
509	56085084.7
510	56060880.54
511	56046335.61
512	56026316.45
513	56004014.46
514	55980056.23
515	55961669.34
516	55940403.66
517	55916187.4
518	55885320.69
519	55868015.61
520	55835458.42
521	55812601.03
522	55788573.38
523	55747572.03
524	55724735.98
525	55697568.86
526	55675289.06
527	55647860.59
528	55622137.55
529	55596004.76
530	55570445.17
531	55533608.9
532	55507524.71
533	55480821.96
534	55457165.79
535	55438599.2
536	55413731.24
537	55403113.29
538	55376144.17
539	55356567.27
