iter	Passed	Remaining
0	1	15920
1	3	16087
2	4	16236
3	6	16585
4	8	17761
5	11	18926
6	13	18949
7	15	19097
8	17	19719
9	19	19676
10	21	19779
11	23	19784
12	26	20408
13	29	20815
14	31	20943
15	33	21033
16	35	20986
17	37	20855
18	39	20783
19	41	20591
20	43	20538
21	45	20574
22	47	20543
23	49	20420
24	50	20328
25	52	20179
26	54	20059
27	55	19934
28	57	19820
29	59	19730
30	61	19656
31	62	19590
32	64	19520
33	66	19460
34	68	19442
35	70	19386
36	71	19319
37	73	19273
38	75	19271
39	77	19214
40	79	19191
41	80	19110
42	82	19084
43	84	19019
44	85	18975
45	87	18916
46	89	18924
47	91	18889
48	93	19027
49	95	18969
50	97	18940
51	98	18891
52	100	18857
53	102	18832
54	103	18791
55	105	18756
56	107	18764
57	109	18746
58	111	18709
59	112	18671
60	114	18722
61	116	18693
62	118	18661
63	120	18643
64	121	18605
65	123	18654
66	125	18604
67	127	18620
68	129	18583
69	131	18595
70	133	18605
71	134	18576
72	136	18575
73	138	18586
74	140	18552
75	141	18537
76	144	18598
77	146	18635
78	148	18625
79	150	18600
80	151	18554
81	153	18518
82	154	18493
83	156	18470
84	158	18449
85	159	18440
86	161	18420
87	165	18682
88	170	19009
89	173	19069
90	174	19043
91	176	19018
92	178	18986
93	180	18984
94	181	18962
95	183	18956
96	185	18923
97	187	18899
98	188	18876
99	190	18848
100	192	18822
101	193	18789
102	195	18773
103	196	18741
104	198	18728
105	200	18703
106	202	18682
107	203	18663
108	205	18636
109	207	18615
110	208	18598
111	210	18571
112	211	18547
113	213	18518
114	215	18500
115	216	18489
116	218	18467
117	220	18446
118	221	18422
119	223	18401
120	225	18396
121	227	18388
122	228	18363
123	230	18342
124	232	18338
125	233	18315
126	235	18293
127	236	18277
128	239	18289
129	240	18271
130	242	18252
131	243	18230
132	245	18227
133	247	18205
134	248	18188
135	250	18178
136	252	18167
137	253	18145
138	255	18128
139	257	18111
140	258	18098
141	260	18074
142	262	18084
143	263	18066
144	265	18049
145	267	18034
146	268	18026
147	270	18007
148	272	17991
149	273	17985
150	275	17958
151	277	17952
152	278	17943
153	280	17928
154	282	17916
155	283	17912
156	285	17896
157	287	17888
158	288	17867
159	290	17860
160	292	17850
161	293	17837
162	295	17828
163	296	17809
164	298	17813
165	300	17802
166	302	17786
167	303	17781
168	305	17762
169	307	17758
170	308	17751
171	310	17744
172	312	17737
173	313	17729
174	315	17719
175	317	17707
176	318	17693
177	320	17683
178	322	17704
179	324	17687
180	325	17675
181	327	17668
182	329	17662
183	330	17647
184	332	17637
185	334	17635
186	335	17625
187	337	17613
188	339	17605
189	340	17596
190	342	17586
191	343	17572
192	345	17564
193	347	17551
194	348	17541
195	350	17535
196	352	17526
197	353	17509
198	355	17499
199	357	17494
200	358	17496
201	360	17490
202	362	17474
203	363	17465
204	365	17460
205	367	17457
206	368	17455
207	370	17445
208	372	17440
209	374	17436
210	375	17427
211	377	17420
212	378	17409
213	380	17400
214	382	17407
215	384	17394
216	385	17389
217	387	17383
218	389	17375
219	390	17374
220	392	17369
221	394	17367
222	395	17355
223	397	17353
224	399	17342
225	400	17340
226	402	17333
227	404	17324
228	406	17341
